recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
565,Homodes vivida,,803896,Noctuoidea,Erebidae,Boletobiinae,,,Homodes
566,Homodes crocea,,518640,Noctuoidea,Erebidae,Boletobiinae,,,Homodes
567,Hipoepa fractalis,,321988,Noctuoidea,Erebidae,Herminiinae,,,Hipoepa
568,Herpetogramma cynaralis,,208030,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Herpetogramma
569,Herpetogramma basalis,,423540,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Herpetogramma
570,Hemithea wuka,,425354,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Hemithea
571,Heliothis peltigera,The Bordered Straw,347024,Noctuoidea,Noctuidae,Heliothinae,,,Heliothis
572,Helicoverpa assulta,Cape Gooseberry Budworm,368830,Noctuoidea,Noctuidae,Heliothinae,,,Helicoverpa
573,Hamodes propitia,,556417,Noctuoidea,Erebidae,Erebinae,Acantholipini,,Hamodes
574,Grammodes geometrica,,52049,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Grammodes
575,Gonodontis pallida,,371635,Geometroidea,Geometridae,Ennominae,Gonodontini,,Gonodontis
576,Gastropacha pardale,,202838,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Gastropachini,,Gastropacha
577,Gampola fasciata,,318852,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Lithosiina,Gampola
578,Galleria mellonella,Greater Wax Moth,122940,Pyraloidea,Pyralidae,Galleriinae,Galleriini,,Galleria
579,Evomina plagiola,,1205727,Noctuoidea,Nolidae,Nolinae,,,Evonima
580,Euthrix laeta,,347898,Lasiocampoidea,Lasiocampidae,Lasiocampinae,Selenepherini,,Euthrix
